AGAF|Afutara Airport|Afutara
KCTK|Ingersoll Airport|Canton, Illinois
KCTY|Cross City Airport|Cross City, Florida
KCTZ|Sampson County Airport|Clinton, North Carolina
KCUB|Columbia Owens Downtown Airport|Columbia, South Carolina
KCUH|Cushing Municipal Airport|Cushing, Oklahoma
KCUL|Carmi Municipal Airport|Carmi, Illinois
KCUT|Custer County Airport|Custer, South Dakota
KCVG|Cincinnati/Northern Kentucky International Airport|Hebron, Kentucky (near Cincinnati, Ohio and Covington, Kentucky)
KCVH|Hollister Municipal Airport|Hollister, California
KCVK|Sharp County Regional Airport|Ash Flat, Arkansas
KCVN|Clovis Municipal Airport|Clovis, New Mexico
KCVO|Corvallis Municipal Airport|Corvallis, Oregon
KCVS|Cannon Air Force Base|Clovis, New Mexico
KCVX|Charlevoix Municipal Airport|Charlevoix, Michigan
KCWA|Central Wisconsin Airport|Mosinee, Wisconsin
KCWF|Chennault International Airport|Lake Charles, Louisiana
KCWI|Clinton Municipal Airport|Clinton, Iowa
KCWS|Dennis F. Cantrell Field|Conway, Arkansas (closed/replaced, see: KCXW)
KCWV|Claxton-Evans County Airport|Claxton, Georgia
KCXE|Chase City Municipal Airport|Chase City, Virginia
KCXL|Calexico International Airport|Calexico, California
KCXO|Lone Star Executive Airport|Houston, Texas
KCXP|Carson City Airport|Carson City, Nevada
KCXU|Camilla-Mitchell County Airport|Camilla, Georgia
KCXW|Conway Municipal Airport / Cantrell Field|Conway, Arkansas
KCXY|Capital City Airport|Harrisburg, Pennsylvania
KCYO|Pickaway County Memorial Airport|Circleville, Ohio
KCYS|Cheyenne Regional Airport (Jerry Olson Field)|Cheyenne, Wyoming
KCYW|Clay Center Municipal Airport|Clay Center, Kansas
KCZD|Cozad Municipal Airport|Cozad, Nebraska
KCZG|Tri-Cities Airport|Endicott, New York
KCZK|Cascade Locks State Airport|Cascade Locks, Oregon
KCZL|Tom B. David Field|Calhoun, Georgia
KCZT|Dimmit County Airport|Carrizo Springs, Texas
KDAA|Davison Army Airfield|Fort Belvoir, Virginia
KDAB|Daytona Beach International Airport|Daytona Beach, Florida
KDAF|Necedah Airport|Necedah, Wisconsin
KDAG|Barstow-Daggett Airport|Daggett, California
KDAL|Dallas Love Field|Dallas, Texas
KDAN|Danville Regional Airport|Danville, Virginia
KDAW|Skyhaven Airport|Rochester, New Hampshire
KDAY|James M. Cox International Airport|Dayton, Ohio
KDBN|W. H. 'Bud' Barron Airport|Dublin, Georgia
KDBQ|Dubuque Regional Airport|Dubuque, Iowa
KDCA|Ronald Reagan Washington National Airport|Arlington County, Virginia (near Washington, DC)
KDCU|Pryor Field Regional Airport|Decatur, Alabama
KDCY|Daviess County Airport|Washington, Indiana
KDDC|Dodge City Regional Airport|Dodge City, Kansas
KDDH|William H. Morse State Airport|Bennington, Vermont
KDEC|Decatur Airport|Decatur, Illinois
KDED|DeLand Municipal Airport (Sidney H. Taylor Field)|DeLand, Florida
KDEH|Decorah Municipal Airport|Decorah, Iowa
KDEN|Denver International Airport (replaced Stapleton Int'l)|Denver, Colorado
KDEQ|J. Lynn Helms Sevier County Airport|De Queen, Arkansas
KDET|Coleman A. Young Municipal Airport|Detroit, Michigan
KDEW|Deer Park Airport|Deer Park, Washington
KDFI|Defiance Memorial Airport|Defiance, Ohio
KDFW|Dallas-Fort Worth International Airport|Dallas & Fort Worth, Texas
KDGL|Douglas Municipal Airport|Douglas, Arizona
KDGW|Converse County Airport|Douglas, Wyoming
KDHN|Dothan Regional Airport|Dothan, Alabama
KDHT|Dalhart Municipal Airport|Dalhart, Texas
KDIK|Dickinson|Theodore Roosevelt Regional Airport
KDKB|DeKalb Taylor Municipal Airport|DeKalb, Illinois
KDKK|Chautauqua County/Dunkirk Airport|Dunkirk, New York
KDKR|Houston County Airport|Crockett, Texas
KDKX|Knoxville Downtown Island Airport|Knoxville, Tennessee
KDLC|Dillon County Airport|Dillon, South Carolina
KDLF|Laughlin Air Force Base|Del Rio, Texas
KDLH|Duluth International Airport|Duluth, Minnesota
KDLL|Baraboo-Wisconsin Dells Airport|Baraboo, Wisconsin
KDLN|Dillon Airport|Dillon, Montana
KDLO|Delano Municipal Airport|Delano, California
KDLS|Columbia Gorge Regional Airport (The Dalles Municipal Airport)|The Dalles, Oregon
KDLZ|Delaware Municipal Airport|Delaware, Ohio; Dale Mabry Field (1928
KDMA|Davis-Monthan Air Force Base|Tucson, Arizona
KDMN|Deming Municipal Airport|Deming, New Mexico
KDMO|Sedalia Memorial Airport|Sedalia, Missouri
KDMW|Carroll County Regional Airport (Jack B. Poage Field)|Westminster, Maryland
KDNL|Daniel Field|Augusta, Georgia
KDNN|Dalton Municipal Airport|Dalton, Georgia
KDNS|Denison Municipal Airport|Denison, Iowa
KDNV|Vermilion County Airport|Danville, Illinois
KDOV|Dover Air Force Base|Dover, Delaware
KDPA|Dupage Airport|West Chicago, Illinois
KDPG|Michael Army Airfield|Dugway Proving Ground, Utah
KDPL|Duplin County Airport|Kenansville, North Carolina
KDQH|Douglas Municipal Airport|Douglas, Georgia
KDRA|Desert Rock Airport|Mercury, Nevada
KDRI|Beauregard Regional Airport|De Ridder, Louisiana
KDRO|Durango-La Plata County Airport|Durango, Colorado
KDRT|Del Rio International Airport|Del Rio, Texas
KDRU|Drummond Airport|Drummond, Montana
KDSM|Des Moines International Airport|Des Moines, Iowa
KDSV|Dansville Municipal Airport|Dansville, New York
KDTA|Delta Municipal Airport|Delta, Utah
KDTG|Dwight Airport|Dwight, Illinois
KDTL|Detroit Lakes Airport (Wething Field)|Detroit Lakes, Minnesota
KDTN|Shreveport Downtown Airport|Shreveport, Louisiana
KDTO|Denton Municipal Airport|Denton, Texas
KDTS|Destin-Fort Walton Beach Airport|Destin, Florida
KDTW|Detroit Metropolitan Wayne County Airport|Romulus, Michigan (near Detroit)
KDUA|Eaker Field|Durant, Oklahoma
KDUC|Halliburton Field|Duncan, Oklahoma
KDUG|Bisbee-Douglas International Airport|Bisbee / Douglas, Arizona
KDUH|Toledo Suburban Airport|Lambertville, Michigan
KDUJ|DuBois Regional Airport (formerly DuBois-Jefferson County Airport)|DuBois, Pennsylvania
KDUX|Moore County Airport|Dumas, Texas
KDVK|Stuart Powell Field|Danville, Kentucky
KDVL|Devils Lake Regional Airport (Devils Lake Municipal Airport)|Devils Lake, North Dakota
KDVN|Davenport Municipal Airport|Davenport, Iowa
KDVO|Gnoss Field|Novato, California
KDVP|Slayton Municipal Airport|Slayton, Minnesota
KDVT|Phoenix Deer Valley Airport|Phoenix, Arizona
KDWH|David Wayne Hooks Memorial Airport|Spring, Texas
KDWU|Ashland-Boyd County Airport|Ashland, Kentucky
KDXE|Dexter Municipal Airport|Dexter, Missouri
KDXR|Danbury Municipal Airport|Danbury, Connecticut
KDXX|Lac qui Parle County Airport|Madison, Minnesota
KDXZ|St. George Regional Airport|St. George, Utah
KDYA|Demopolis Municipal Airport|Demopolis, Alabama
KDYB|Summerville Airport|Summerville, South Carolina
KDYL|Doylestown Airport|Doylestown, Pennsylvania
KDYR|Dyersburg Regional Airport|Dyersburg, Tennessee
KDYS|Dyess Air Force Base|Abilene, Texas
KDYT|Sky Harbor Airport|Duluth, Minnesota
KDZJ|Blairsville Airport|Blairsville, Georgia
KEAG|Eagle Grove Municipal Airport|Eagle Grove, Iowa
KEAN|Phifer Airfield|Wheatland, Wyoming
KEAR|Kearney Regional Airport|Kearney, Nebraska
KEAT|Pangborn Memorial Airport|Wenatchee, Washington
KEAU|Chippewa Valley Regional Airport|Eau Claire, Wisconsin
KEBG|South Texas International Airport at Edinburg|Edinburg, Texas
KEBS|Webster City Municipal Airport|Webster City, Iowa
KECG|Elizabeth City-Pasquotank County Regional Airport / Elizabeth City CGAS|Elizabeth City, North Carolina
KECS|Mondell Field|Newcastle, Wyoming
KECU|Edwards County Airport|Rocksprings, Texas
KEDC|Austin Executive Airport|Austin, Texas
KEDE|Northeastern Regional Airport|Edenton, North Carolina
KEDG|Weide Army Airfield|Edgewood Arsenal, Aberdeen Proving Ground, Maryland
KEDJ|Bellefontaine Regional Airport|Bellefontaine, Ohio
KEDN|Enterprise Municipal Airport|Enterprise, Alabama
KEDW|Edwards Air Force Base|Rosamond, California
KEED|Needles Airport|Needles, California
KEEN|Dillant-Hopkins Airport|Keene, New Hampshire
KEEO|Meeker Airport|Meeker, Colorado
KEET|Shelby County Airport|Alabaster, Alabama
KEFC|Belle Fourche Municipal Airport|Belle Fourche, South Dakota
KEFD|Ellington Field|Houston, Texas
KEFK|Newport State Airport|Newport, Vermont
KEFT|Monroe Municipal Airport|Monroe, Wisconsin
KEFW|Jefferson Municipal Airport|Jefferson, Iowa
KEGE|Eagle County Regional Airport|Eagle, Colorado (near Vail)
KEGI|Duke Field (Eglin Auxiliary Field 3)|Crestview, Florida
KEGQ|Emmetsburg Municipal Airport|Emmetsburg, Iowa
KEGT|Wellington Municipal Airport|Wellington, Kansas
KEGV|Eagle River Union Airport|Eagle River, Wisconsin
KEHA|Elkhart-Morton County Airport|Elkhart, Kansas
KEHO|Shelby Municipal Airport|Shelby, North Carolina
KEHR|Henderson City-County Airport|Henderson, Kentucky
KEIK|Erie Municipal Airport|Erie, Colorado
KEIW|County Memorial Airport|New Madrid, Missouri
KEKA|Murray Field|Eureka, California
KEKM|Elkhart Municipal Airport|Elkhart, Indiana
KEKN|Elkins-Randolph County Airport (Jennings Randolph Field)|Elkins, West Virginia
KEKO|Elko Regional Airport|Elko, Nevada
KEKQ|Wayne County Airport|Monticello, Kentucky
KEKX|Addington Field|Elizabethtown, Kentucky
KEKY|Bessemer Airport|Bessemer, Alabama
KELA|Eagle Lake Airport|Eagle Lake, Texas
KELD|South Arkansas Regional Airport at Goodwin Field|El Dorado, Arkansas
KELK|Elk City Municipal Airport|Elk City, Oklahoma
KELM|Elmira/Corning Regional Airport|Big Flats, New York (near Elmira & Corning)
KELN|Bowers Field|Ellensburg, Washington
KELO|Ely Municipal Airport|Ely, Minnesota
KELP|El Paso International Airport|El Paso, Texas
KELY|Ely Airport (Yelland Field)|Ely, Nevada
KELZ|Wellsville Municipal Airport|Wellsville, New York
KEMM|Kemmerer Municipal Airport|Kemmerer, Wyoming
KEMP|Emporia Municipal Airport|Emporia, Kansas
KEMT|El Monte Airport|El Monte, California
KEMV|Emporia-Greensville Regional Airport|Emporia, Virginia
KEND|Vance Air Force Base|Enid, Oklahoma
KENL|Centralia Municipal Airport|Centralia, Illinois
KENV|Wendover Airport|Wendover, Utah
KENW|Kenosha Regional Airport|Kenosha, Wisconsin
KEOE|Newberry County Airport|Newberry, South Carolina
KEOK|Keokuk Municipal Airport|Keokuk, Iowa
KEOP|Pike County Airport|Waverly, Ohio
KEOS|Neosho Hugh Robinson Airport|Neosho, Missouri
KEPG|Browns Airport|Weeping Water, Nebraska
KEPH|Ephrata Municipal Airport|Ephrata, Washington
KEPM|Eastport Municipal Airport|Eastport, Maine
KEQA|Captain Jack Thomas/El Dorado Airport|El Dorado, Kansas
KEQY|Monroe Regional Airport|Monroe, North Carolina
KERI|Erie International Airport (Tom Ridge Field)|Erie, Pennsylvania
KERR|Errol Airport|Errol, New Hampshire
KERV|Kerrville Municipal Airport (Louis Schreiner Field)|Kerrville, Texas
KERY|Luce County Airport|Newberry, Michigan
KESC|Delta County Airport|Escanaba, Michigan
KESF|Esler Regional Airport|Alexandria, Louisiana
KESN|Easton/Newnam Field|Easton, Maryland
KEST|Estherville Municipal Airport|Estherville, Iowa
KESW|Easton State Airport|Easton, Washington
KETB|West Bend Municipal Airport|West Bend, Wisconsin
KETC|Tarboro-Edgecombe Airport|Tarboro, North Carolina
KETN|Eastland Municipal Airport|Eastland, Texas
KEUF|Weedon Field|Eufaula, Alabama
KEUG|Eugene Airport / Mahlon Sweet Field|Eugene, Oregon
KEUL|Caldwell Industrial Airport|Caldwell, Idaho
KEVB|New Smyrna Beach Municipal Airport|New Smyrna Beach, Florida
KEVM|Eveleth-Virginia Municipal Airport|Eveleth, Minnesota
KEVU|Northwest Missouri Regional Airport|Maryville, Missouri
KEVV|Evansville Regional Airport|Evansville, Indiana
KEVW|Evanston-Uinta County Airport (Burns Field)|Evanston, Wyoming
KEVY|Summit Airport|Middletown, Delaware
KEWB|New Bedford Regional Airport|New Bedford, Massachusetts
KEWK|Newton City/County Airport|Newton, Kansas
KEWN|Craven County Regional Airport|New Bern, North Carolina
KEWR|Newark Liberty International Airport|Newark & Elizabeth, New Jersey
KEXX|Davidson County Airport|Lexington, North Carolina
KEYE|Eagle Creek Airpark|Indianapolis, Indiana
KEYF|Curtis L. Brown Jr. Field|Elizabethtown, North Carolina
KEYQ|Weiser Air Park|Houston, Texas
KEYW|Key West International Airport|Key West, Florida
KEZF|Shannon Airport|Fredericksburg, Virginia
KEZI|Kewanee Municipal Airport|Kewanee, Illinois
KEZM|Heart of Georgia Regional Airport|Eastman, Georgia
KEZS|Shawano Municipal Airport|Shawano, Wisconsin
KEZZ|Cameron Memorial Airport|Cameron, Missouri
KFAF|Felker Army Airfield|Fort Eustis, Virginia
KFAM|Farmington Regional Airport|Farmington, Missouri
KFAR|Hector International Airport|Fargo, North Dakota
KFAT|Fresno Yosemite International Airport|Fresno, California
KFAY|Fayetteville Regional Airport (Grannis Field)|Fayetteville, North Carolina
KFBG|Simmons Army Airfield|Fort Bragg, North Carolina
KFBL|Faribault Municipal Airport|Faribault, Minnesota
KFBR|Fort Bridger Airport|Fort Bridger, Wyoming
KFBY|Fairbury Municipal Airport|Fairbury, Nebraska
KFCA|Glacier Park International Airport|Kalispell, Montana
KFCH|Fresno Chandler Executive Airport|Fresno, California
KFCI|Chesterfield County Airport|Richmond, Virginia
KFCM|Flying Cloud Airport|Minneapolis, Minnesota
KFCS|Butts Army Airfield (Fort Carson)|Fort Carson, Colorado
KFCT|Vagabond Army Airfield|Yakima, Washington
KFCY|Forrest City Municipal Airport|Forrest City, Arkansas
KFDK|Frederick Municipal Airport|Frederick, Maryland
KFDR|Frederick Municipal Airport|Frederick, Oklahoma
KFDW|Fairfield County Airport|Winnsboro, South Carolina
KFDY|Findlay Airport|Findlay, Ohio
KFEP|Albertus Airport|Freeport, Illinois
KFES|Festus Memorial Airport|Festus, Missouri
KFET|Fremont Municipal Airport|Fremont, Nebraska
KFFA|First Flight Airport|Kill Devil Hills, North Carolina
KFFC|Falcon Field|Peachtree City, Georgia
KFFL|Fairfield Municipal Airport|Fairfield, Iowa
KFFM|Fergus Falls Municipal Airport (Einar Mickelson Field)|Fergus Falls, Minnesota
KFFO|Wright-Patterson Air Force Base|Dayton, Ohio
KFFT|Capital City Airport|Frankfort, Kentucky
KFFZ|Falcon Field|Mesa, Arizona
KFGX|Fleming-Mason Airport|Flemingsburg, Kentucky
KFHB|Fernandina Beach Municipal Airport|Fernandina Beach, Florida
KFHR|Friday Harbor Airport|Friday Harbor, Washington
KFHU|Sierra Vista Municipal Airport / Libby Army Airfield|Fort Huachuca / Sierra Vista, Arizona
KFIG|Clearfield-Lawrence Airport|Clearfield, Pennsylvania
KFIT|Fitchburg Municipal Airport|Fitchburg, Massachusetts
KFKA|Fillmore County Airport|Preston, Minnesota
KFKL|Venango Regional Airport|Franklin, Pennsylvania
KFKN|Franklin Municipal Airport (John Beverly Rose Field)|Franklin, Virginia
KFKR|Frankfort Municipal Airport|Frankfort, Indiana
KFKS|Frankfort Dow Memorial Field|Frankfort, Michigan
KFLD|Fond du Lac County Airport|Fond du Lac, Wisconsin
KFLG|Flagstaff Pulliam Airport|Flagstaff, Arizona
KFLL|Fort Lauderdale-Hollywood International Airport|Fort Lauderdale / Hollywood, Florida
KFLO|Florence Regional Airport|Florence, South Carolina
KFLP|Marion County Regional Airport|Flippin, Arkansas
KFLV|Sherman Army Airfield|Fort Leavenworth, Kansas
KFLX|Fallon Municipal Airport|Fallon, Nevada
KFLY|Meadow Lake Airport|Colorado Springs, Colorado
KFME|Tipton Airport|Fort Meade / Odenton, Maryland
KFMH|Otis Air National Guard Base|Falmouth, Massachusetts
KFMM|Fort Morgan Municipal Airport|Fort Morgan, Colorado
KFMN|Four Corners Regional Airport|Farmington, New Mexico
KFMY|Page Field|Fort Myers, Florida
KFMZ|Fairmont State Airfield|Fairmont, Nebraska
KFNB|Brenner Field|Falls City, Nebraska
KFNL|Fort Collins-Loveland Municipal Airport|Fort Collins / Loveland, Colorado
KFNT|Bishop International Airport|Flint, Michigan
KFOA|Flora Municipal Airport|Flora, Illinois
KFOD|Fort Dodge Regional Airport|Fort Dodge, Iowa
KFOE|Forbes Field|Topeka, Kansas
KFOK|Francis S. Gabreski Airport|Westhampton Beach, New York
KFOM|Fillmore Municipal Airport|Fillmore, Utah
KFOT|Rohnerville Airport|Fortuna, California
KFOZ|Bigfork Municipal Airport|Bigfork, Minnesota
KFPK|Fitch H. Beach Airport|Charlotte, Michigan
KFPR|St. Lucie County International Airport|Fort Pierce, Florida
KFQD|Rutherford County Airport (Marchman Field)|Rutherfordton, North Carolina
KFRG|Republic Airport|East Farmingdale, New York
KFRH|French Lick Municipal Airport|French Lick, Indiana
KFRI|Marshall Army Airfield|Fort Riley / Junction City, Kansas
KFRM|Fairmont Municipal Airport|Fairmont, Minnesota
KFRR|Front Royal-Warren County Airport|Front Royal, Virginia
KFSD|Sioux Falls Regional Airport (Joe Foss Field)|Sioux Falls, South Dakota
KFSE|Fosston Municipal Airport|Fosston, Minnesota
KFSI|Henry Post Army Airfield|Fort Sill / Lawton, Oklahoma
KFSK|Fort Scott Municipal Airport|Fort Scott, Kansas
KFSM|Fort Smith Regional Airport|Fort Smith, Arkansas
KFSO|Franklin County State Airport|Highgate, Vermont
KFST|Fort Stockton-Pecos County Airport|Fort Stockton, Texas
KFSU|Fort Sumner Municipal Airport|Fort Sumner, New Mexico
KFSW|Fort Madison Municipal Airport|Fort Madison, Iowa
KFTG|Front Range Airport|Aurora, Colorado
KFTK|Godman Army Airfield|Fort Knox, Kentucky
KFTT|Elton Hensley Memorial Airport|Fulton, Missouri
KFTW|Fort Worth Meacham International Airport|Fort Worth, Texas
KFTY|Fulton County Airport (Brown Field)|Atlanta, Georgia
KFUL|Fullerton Municipal Airport|Fullerton, California
KFVE|Northern Aroostook Regional Airport|Frenchville, Maine
KFVX|Farmville Regional Airport|Farmville, Virginia
KFWA|Fort Wayne International Airport|Fort Wayne, Indiana
KFWC|Fairfield Municipal Airport|Fairfield, Illinois
KFWN|Sussex Airport|Sussex, New Jersey
KFWQ|Rostraver Airport|Monongahela, Pennsylvania (suburb of Pittsburgh)
KFWS|Fort Worth Spinks Airport|Fort Worth, Texas
KFXE|Fort Lauderdale Executive Airport|Fort Lauderdale, Florida
KFXY|Forest City Municipal Airport|Forest City, Iowa
KFYE|Fayette County Airport|Somerville, Tennessee
KFYJ|Middle Peninsula Regional Airport|West Point, Virginia
KFYM|Fayetteville Municipal Airport|Fayetteville, Tennessee
KFYV|Drake Field / Fayetteville Municipal Airport|Fayetteville, Arkansas
KFZG|Fitzgerald Municipal Airport|Fitzgerald, Georgia
KFZI|Fostoria Metropolitan Airport|Fostoria, Ohio
KFZY|Oswego County Airport|Fulton, New York
KGAB|Gabbs Airport|Gabbs, Nevada
KGAD|Northeast Alabama Regional Airport|Gadsden, Alabama
KGAF|Grafton Municipal Airport|Grafton, North Dakota
KGAI|Montgomery County Airpark|Gaithersburg, Maryland
KGBD|Great Bend Municipal Airport|Great Bend, Kansas
KGBN|Gila Bend Air Force Auxiliary Field|Gila Bend, Arizona
KGBR|Walter J. Koladza Airport|Great Barrington, Massachusetts
KGCC|Gillette-Campbell County Airport|Gillette, Wyoming
KGCK|Garden City Regional Airport|Garden City, Kansas
KGCN|Grand Canyon National Park Airport|Grand Canyon National Park, Arizona
KGDJ|Granbury Municipal Airport|Granbury, Texas
KGDM|Gardner Municipal Airport|Gardner, Massachusetts
KGDV|Dawson Community Airport|Glendive, Montana
KGDY|Grundy Municipal Airport|Grundy, Virginia
KGED|Delaware Coastal Airport|Georgetown, Delaware
KGEG|Spokane International Airport|Spokane, Washington
KGEU|Glendale Municipal Airport|Glendale, Arizona
KGEV|Ashe County Airport|Jefferson, North Carolina
KGEY|South Big Horn County Airport|Greybull, Wyoming
KGFA|Great Falls Air Force Base|Great Falls, Montana
KGFK|Grand Forks International Airport|Grand Forks, North Dakota
KGFL|Bennett Memorial Airport|Glens Falls, New York
KGGE|Georgetown County Airport|Georgetown, South Carolina
KGGF|Grant Municipal Airport|Grant, Nebraska
KGGG|East Texas Regional Airport|Longview, Texas
KGGI|Grinnell Regional Airport|Grinnell, Iowa
KGGW|Glasgow Airport|Glasgow, Montana
KGHG|Marshfield Municipal Airport|Marshfield, Massachusetts
KGHM|Centerville Municipal Airport|Centerville, Tennessee
KGIF|Winter Haven's Gilbert Airport|Winter Haven, Florida
KGJT|Grand Junction Regional Airport (Walker Field)|Grand Junction, Colorado
KGKJ|Port Meadville Airport|Meadville, Pennsylvania
KGKT|Gatlinburg-Pigeon Forge Airport|Sevier County, Tennessee
